ID,Province,Unknown,Social,Relative,Travel
1,AnHui,62,44,82,16
2,BeiJing,0,104,0,2
3,ChongQing,129,51,179,8
4,FuJian,36,10,14,1
5,GanSu,29,36,18,0
6,GuangDong,190,7,55,17
7,GuangXi,20,14,21,21
8,GuiZhou,66,5,41,15
9,HaiNan,119,20,18,12
10,HeBei,61,63,45,41
11,HeiLongJiang,29,138,141,92
12,HeNan,217,74,168,51
13,,,,,
14,HuNan,68,0,182,0
15,JiangSu,58,93,4,0
16,JiangXi,0,2,8,0
17,JiLin,1,9,36,41
18,LiaoNing,58,6,9,7
19,NeiMonggol,7,6,12,0
20,NingXia,2,17,15,0
21,,,,,
22,ShaanXi,9,4,10,0
23,ShanDong,36,23,18,32
24,ShangHai,1,0,8,0
25,ShanXi,59,16,32,4
26,SiChuan,79,32,64,0
27,TianJin,11,9,36,30
28,XinJiang,1,0,2,0
29,,,,,
30,YunNan,14,4,2,4
31,ZheJiang,40,174,0,13
