ID,Province,Unknown,Social,Relative,Travel
1,AnHui,24,62,95,44,
2,BeiJing,0,104,0,2,
3,ChongQing,50,69,235,37,
4,FuJian,9,11,41,8,
5,GanSu,1,61,22,0,
6,GuangDong,6,13,198,57,
7,GuangXi,16,14,26,36,
8,GuiZhou,24,26,55,40,
9,HaiNan,0,42,59,68,
10,HeBei,104,64,49,97,
11,HeiLongJiang,44,141,143,116,
12,HeNan,106,79,193,209,
14,HuNan,0,68,182,0,
15,JiangSu,0,150,5,0,
16,JiangXi,7,2,8,0,
17,JiLin,1,9,36,41,
18,LiaoNing,75,8,12,25,
19,NeiMonggol,8,13,12,0,
20,NingXia,0,18,16,0,
22,ShaanXi,22,13,10,0,
23,ShanDong,113,23,18,66,
24,ShangHai,0,1,8,0,
25,ShanXi,0,28,61,22,
26,SiChuan,131,98,66,0,
27,TianJin,9,42,46,37,
28,XinJiang,2,1,2,0,
30,YunNan,3,4,2,18,
31,ZheJiang,3,174,0,53,
